Restaurant Name,Business Email,City,Region/State,Country,Website,Source URL
1896 Brasserie & Lounge,rezervari@1896.ro,Constanța,Constanța County,Romania,https://1896.ro/,https://1896.ro/
Bacaro Port,information@bacarorestaurant.net,Constanța,Constanța County,Romania,https://bacarorestaurant.net,https://bacarorestaurant.net/contact
Amadeo,office@amadeo.ro,Iași,Iași County,Romania,https://amadeo.ro,https://amadeo.ro/restaurant/
Boemie și Piper,office@boemiesipiper.ro,Iași,Iași County,Romania,https://boemiesipiper.ro,https://boemiesipiper.ro/
Terasa Corso,corsoterasa@gmail.com,Iași,Iași County,Romania,http://www.corsoterasa.ro,http://www.corsoterasa.ro/contact/
Citadela Bistro,info@citadelasighisoara.ro,Sighișoara,Mureș County,Romania,https://citadelasighisoara.ro,https://citadelasighisoara.ro/
San Gennaro Sighișoara,info@sangennarosighisoara.ro,Sighișoara,Mureș County,Romania,https://sangennarosighisoara.ro,https://sangennarosighisoara.ro/
Cabana Schiori,"office@cabana-schiori.ro; rezervari@cabana-schiori.ro",Sinaia,Prahova County,Romania,http://www.cabana-schiori.ro,http://cabana-schiori.ro/contact.html
Bruma Restaurant,bruma@bruma-restaurant.ro,Sinaia,Prahova County,Romania,https://bruma-restaurant.ro,https://bruma-restaurant.ro/
Han Hadji Nikoli,office@hanhadjinikoli.com,Veliko Tarnovo,Veliko Tarnovo Province,Bulgaria,https://hanhadjinikoli.com,https://veliko-tarnovo.net/turizam/hoteli/restorant-hadzhi-nikoli.html
Bizeva House Restaurant,bizevhotel@mail.bg,Bansko,Blagoevgrad Province,Bulgaria,https://bizevhotel.com,https://bizevhotel.com/ресторант-в-банско/
Momini Dvori,mominidvori-bansko@mail.bg,Bansko,Blagoevgrad Province,Bulgaria,https://momini-dvori-bansko.com,https://momini-dvori-bansko.com/en/
Ala Cappadocia Restaurant,info@alacappadocia.com,Göreme,Nevşehir,Türkiye,https://www.alacappadocia.com,https://www.alacappadocia.com/en/2/menu.html
Haruna Cappadocia,info@harunacappadocia.com,Göreme,Nevşehir,Türkiye,https://harunacappadocia.com/,https://harunacappadocia.com/
Ziggy Cafe & Shop,ziggy.cafe@gmail.com,Ürgüp,Nevşehir,Türkiye,http://ziggycafe.com/,https://turkeytravelplanner.com/go/CentralAnatolia/Cappadocia/urgup/rests/ziggys.html
Çarıklı Restaurant,info@carikli.com.tr,Fethiye,Muğla,Türkiye,https://www.carikli.com.tr/,https://www.carikli.com.tr/
Boğaziçi Restaurant Fethiye,rezervasyon@bogazicirestaurantfethiye.com,Fethiye,Muğla,Türkiye,https://bogazicirestaurantfethiye.com/,https://bogazicirestaurantfethiye.com/
Lider Et & Mangal,info@alanyakasap.com,Alanya,Antalya,Türkiye,https://alanyakasap.com/en/,https://alanyakasap.com/en/
Alanya Balık Evi,info@alanyabalikevi.com.tr,Alanya,Antalya,Türkiye,https://alanyabalikevi.com.tr/en/,https://alanyabalikevi.com.tr/en/
Saray Restaurant,info@sarayrestaurant.com.tr,Yomra/Trabzon,Trabzon,Türkiye,https://sarayrestaurant.com.tr/,https://sarayrestaurant.com.tr/
Karnivor Steakhouse,info@karnivorsteakhouse.com,Trabzon,Trabzon,Türkiye,https://www.karnivorsteakhouse.com/,https://www.karnivorsteakhouse.com/
Palaty Restaurant,info@palaty.ge,Kutaisi,Imereti,Georgia,https://palaty.ge,https://palaty.ge
Sisters (Debi),debitvaradzeebi@yahoo.com,Kutaisi,Imereti,Georgia,https://www.facebook.com/Debiishxnelebidan,https://www.yell.ge/company.php?lan=eng&id=145304
Pheasant's Tears,tamriko@pheasantstears.com,Sighnaghi,Kakheti,Georgia,https://www.pheasantstears.com/,https://www.pheasantstears.com/
Okro's Wines,info@okroswines.com,Sighnaghi,Kakheti,Georgia,,https://winesgeorgia.com/domaine/okros-wines/
Ani Restaurant,ani.restaurant.gyumri@mail.ru,Gyumri,Shirak,Armenia,http://anirestaurant.am,https://www.spyur.am/en/companies/ani-restaurant-gyumri/51682/
Gagini Restaurant,info@gaginirestaurant.com,Palermo,Sicilia,Italy,https://www.gaginirestaurant.com,https://www.gaginirestaurant.com/contatti/
Il Curtigghiu (Palermo),palermo@curtigghiu.com,Palermo,Sicilia,Italy,https://curtigghiu.com,https://curtigghiu.com/en/contact-us/
MEC Restaurant,info@mecrestaurant.it,Palermo,Sicilia,Italy,https://www.mecrestaurant.it,https://www.mecrestaurant.it/en/contact/
Il Curtigghiu (Catania),catania@curtigghiu.com,Catania,Sicilia,Italy,https://curtigghiu.com,https://curtigghiu.com/en/contact-us/
Osteria Antica Marina,ant.marina@hotmail.it,Catania,Sicilia,Italy,https://osteriaanticamarina.it/,https://osteriaanticamarina.it/
Ristorante Lo Scoglio,info@ristoranteloscoglio.it,Cagliari,Sardegna,Italy,https://www.ristoranteloscoglio.it,https://www.ristoranteloscoglio.it/it/contatti.html
Ristorante Basilio,ristorantebasilio@libero.it,Cagliari,Sardegna,Italy,https://www.ristorantebasiliocagliari.com,https://www.ristorantebasiliocagliari.com/
Skyline Ristorante di Pesce,skyline.cagliari@gmail.com,Cagliari,Sardegna,Italy,https://skylinecagliari.wixsite.com/skyline,https://skylinecagliari.wixsite.com/skyline/contatti-e-prenotazioni
Ristorante Stano,info@stanoristorazione.it,Matera,Basilicata,Italy,https://www.stanoristorazione.it,https://www.stanoristorazione.it/en/contact-us/
