Restaurant Name,Business Email,City,State,Website,Source URL
Misty Mountain Hops,gm@mistymtnhops.com,Blue Ridge,GA,https://www.mistymtnhops.com,https://www.mistymtnhops.com/
Nacoochee Grill,matt@nacoochee-grill.com,Helen,GA,https://www.nacoochee-grill.com,https://www.nacoochee-grill.com/
Bodega 1205,admin@bodega1205.com,Columbus,GA,https://bodega1205.com,https://bodega1205.com/
Chophouse on Broad Street,contact@chophouseobs.com,Rome,GA,https://www.chophouseobs.com,https://www.chophouseobs.com/
Aventine,info@aventinerome.com,Rome,GA,https://www.aventinerome.com,https://www.aventinerome.com/
Oak & Olive,info@oakandolivebar.com,Valdosta,GA,https://www.oakandolivebar.com,https://www.oakandolivebar.com/
The Southern Cellar,info@thesoutherncellar.com,Valdosta,GA,https://www.thesoutherncellar.com,https://www.thesoutherncellar.com/
Tara Thai & Sushi,contact@tarathaisushi.com,St. Simons Island,GA,https://tarathaisushi.com,https://tarathaisushi.com/
The Oaks,theoaksogden@gmail.com,Ogden,UT,https://theoaksogden.com,https://theoaksogden.com/contact/
The Social,events@thesocialprovo.com,Provo,UT,https://thesocialprovo.com,https://thesocialprovo.com/
Sensuous Sandwich,sensuoussandwich@icloud.com,Provo,UT,https://sensuoussandwich.com,https://sensuoussandwich.com/
La Jolla Groves,gm@lajollagroves.com,Provo,UT,https://www.lajollagroves.com,https://www.lajollagroves.com/contact/
The Elements Restaurant,elementshostdesk@gmail.com,Logan,UT,https://www.theelementsrestaurant.com,https://www.theelementsrestaurant.com/
Firehouse Pizzeria,loganfirehouse@gmail.com,Logan,UT,https://firehousepizzeria.com,https://firehousepizzeria.com/logan-firehouse-pizzeria-find-us
Cappeletti's Restaurant,cappelettisrestaurant@hotmail.com,St. George,UT,https://www.cappelettisrestaurantstgeorge.com,https://www.cappelettisrestaurantstgeorge.com/contact
The Rim Rock Restaurant,reservation@therimrock.net,Torrey,UT,https://therimrock.net,https://therimrock.net/contact-and-dgc
The Hub,thehub@heberhub.com,Heber City,UT,https://heberhub.com,https://heberhub.com/
The Lauber,support@thelauber.com,South Bend,IN,https://thelauber.com,https://thelauber.com/
Island Eleven,islandfusion574@gmail.com,South Bend,IN,https://islandelevensb.com,https://www.visitsouthbend.com/directory/island-eleven/
Brasserie 23,contact@brasserie23.com,South Bend,IN,https://brasserie23.com,https://brasserie23.com/
The Nashville House,andreabartels289@gmail.com,Nashville,IN,https://nashvillehousebc.com,https://nashvillehousebc.com/about
Story Inn,reservations@storyinn.com,Nashville,IN,https://storyinn.com,https://storyinn.com/
Le Fernández Café,info@lefernandezcafe.com,Columbus,IN,https://lefernandezcafe.com,https://lefernandezcafe.com/
La Fiesta Mexican Restaurant,lafiestatf@gmail.com,Twin Falls,ID,https://lafiestatwinfalls.com,https://lafiestatwinfalls.com/?page_id=163
Turf Club,howdy@turfclubtwinfalls.com,Twin Falls,ID,https://www.turfclubtwinfalls.com,https://www.turfclubtwinfalls.com/
MickDuff's Brewing Company,mail@mickduffs.com,Sandpoint,ID,https://www.mickduffs.com,https://www.mickduffs.com/contact
Spuds Waterfront Grill,sandpointspuds@gmail.com,Sandpoint,ID,https://www.spudsonline.com,https://www.spudsonline.com/
Citizen 33,info@citizen33.com,Driggs,ID,https://www.citizen33.com,https://www.citizen33.com/
Forage Bistro & Lounge,forage.lounge@gmail.com,Driggs,ID,https://forageandlounge.com,https://forageandlounge.com/contact
A Taste of Thai,atasteofthaihailey@gmail.com,Hailey,ID,https://www.atasteofthaihailey106.com,https://www.atasteofthaihailey106.com/
Salt N' Pepper Sandwich Co.,hello@snpsandwich.com,Hailey,ID,https://www.snpsandwich.com,https://www.snpsandwich.com/
One World Cafe,owcmoscow@gmail.com,Moscow,ID,https://owc-moscow.com,https://moscowchamber.com/members/one-world-cafe/
Flying M Coffee Garage,Nampa@FlyingMCoffee.com,Nampa,ID,https://www.flyingmcoffee.com,https://www.flyingmcoffee.com/
Dude's Public Market,info@dudespublicmarket.com,Pocatello,ID,https://www.dudespublicmarket.com,https://www.dudespublicmarket.com/
Amano,karen@amanorestaurante.com,Caldwell,ID,https://amanorestaurante.com,https://amanorestaurante.com/
Sixth Avenue Bistro,sixthavenuebistro@gmail.com,Vancouver,WA,http://www.6thavenuebistro.com,https://www.opentable.com/r/sixth-avenue-bistro-vancouver
DOSALAS Latin Kitchen + Tequila Bar,guestservices@dosalasrestaurants.com,Vancouver,WA,https://www.dosalasrestaurants.com,https://www.dosalasrestaurants.com/reservations/
Smokey's Barbque,james@smokeysbarbque.com,Ellensburg,WA,https://smokeysbarbque.com,https://smokeysbarbque.com/
Bistro at Lake Chelan,bistrogroup@outlook.com,Chelan,WA,https://www.chelanbistro.com,https://www.chelanbistro.com/
Two Dogs Taphouse,beer@twodogstaphouse.com,McMinnville,OR,https://twodogstaphouse.com,https://twodogstaphouse.com/
Oros' Fireside Restaurant,orosfireside8@yahoo.com,Cannon Beach,OR,https://www.orosfiresiderestaurant.com,https://www.orosfiresiderestaurant.com/
Frankie's (formerly Sisters Depot),info@sistersdepot.com,Sisters,OR,https://frankiesinsisters.com,https://frankiesinsisters.com/
