restaurant_name,business_email,city,state,source_url,scheduled_at,subject,status,template_url,template_version,run_id
Montclair Bread Company,hello@rabblerise.com,Montclair,NJ,https://montclairbreadco.com/,08/18/2026 11:20:00 America/New_York,Montclair Bread Company Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065456487155300
Fiorino Ristorante & Bar,hello@fiorino.com,Summit,NJ,https://fiorino.com/,08/18/2026 11:30:00 America/New_York,Fiorino Ristorante & Bar Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065479498138300
Huntley Taverne,chestergrabowski@harvestrestaurants.com,Summit,NJ,https://www.thehuntleytaverne.com/contact/,08/18/2026 11:40:00 America/New_York,Huntley Taverne Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065502185138400
Dullboy,hello@dullboybar.com,Jersey City,NJ,https://www.dullboybar.com/contact,08/18/2026 11:50:00 America/New_York,Dullboy Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065521694155100
Luna Restaurant & Bar,hello@lunajc.com,Jersey City,NJ,https://www.lunajc.com/contact/,08/18/2026 12:00:00 America/New_York,Luna Restaurant & Bar Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065542826138400
Oba Mediterranean Grill,obamediterraneangrill@gmail.com,Collingswood,NJ,https://obamediterraneangrill.com/,08/18/2026 12:10:00 America/New_York,Oba Mediterranean Grill Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065563358155000
Sapori Trattoria,sapori601@icloud.com,Collingswood,NJ,https://sapori.info/,08/18/2026 12:20:00 America/New_York,Sapori Trattoria Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065583792138300
Delta's Restaurant,info@deltasrestaurants.com,New Brunswick,NJ,https://www.deltasrestaurant.com/contact-us,08/18/2026 12:30:00 America/New_York,Delta's Restaurant Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065607899138300
Barrel & Roost,info@barrelandroost.com,Red Bank,NJ,https://www.barrelandroost.com/contact/,08/18/2026 12:40:00 America/New_York,Barrel & Roost Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065627849138400
TEAK Restaurant & Bar,info@teakrestaurant.com,Red Bank,NJ,https://www.teakrestaurant.com/contact,08/18/2026 12:50:00 America/New_York,TEAK Restaurant & Bar Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed.html,zoho-1787065653029155100
Jawfish Restaurant,jawfishmanagement@jawfishpdx.com,Portland,OR,https://www.jawfishpdx.com/contact,08/18/2026 19:30:00 Africa/Lagos,Jawfish Restaurant Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
Contessa Miami,reservations@contessamiami.com,Miami,FL,https://contessaristorante.com/miami,08/18/2026 19:40:00 Africa/Lagos,Contessa Miami Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
Goldfinch Tavern,goldfinchtavern@fourseasons.com,Seattle,WA,https://www.goldfinchtavern.com/contact/,08/18/2026 19:50:00 Africa/Lagos,Goldfinch Tavern Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
Gary Danko,reservations@garydanko.com,San Francisco,CA,https://garydanko.com/,08/18/2026 20:00:00 Africa/Lagos,Gary Danko Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
Chotto Matte San Francisco,san.francisco@chotto-matte.com,San Francisco,CA,https://chotto-matte.com/sanfrancisco/contact/,08/18/2026 20:10:00 Africa/Lagos,Chotto Matte San Francisco Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
CO-OP Restaurant & Bar,co-oprestaurant@studyhotels.com,Philadelphia,PA,https://www.coopphilly.com/contact-us/,08/18/2026 20:20:00 Africa/Lagos,CO-OP Restaurant & Bar Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
The Dubliner Restaurant,info@dublinerdc.com,Washington,DC,https://www.dublinerdc.com/contact/,08/18/2026 20:30:00 Africa/Lagos,The Dubliner Restaurant Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
The Ivy,info@theivyrestaurants.com,Los Angeles,CA,https://theivyrestaurants.com/contact-us/,08/18/2026 20:40:00 Africa/Lagos,The Ivy Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
The Public House NYC,publichouse@merrionrow.com,New York,NY,https://thepublichousenyc.com/contact-us/,08/18/2026 20:50:00 Africa/Lagos,The Public House NYC Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
Jeffrey's,events@jeffreysofaustin.com,Austin,TX,https://jeffreysofaustin.com/,08/18/2026 21:00:00 Africa/Lagos,Jeffrey's Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,delivered_in_zoho,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,enhanced_email_v4_fixed(1).html,zoho-reconciled-2026-08-18
